order_id,customer_id,order_date,order_status,shipping_city
ORD000001,CUST00856,2025-03-27,Delivered,Jaipur
ORD000002,CUST06976,2024-01-30,Delivered,Thane
ORD000003,CUST09405,2025-12-08,Delivered,Bengaluru
ORD000004,CUST06055,2024-07-21,Delivered,Mumbai
ORD000005,CUST05558,2024-05-25,Delivered,Pune
ORD000006,CUST11727,2025-11-27,Delivered,Nagpur
ORD000007,CUST09476,2025-12-13,Delivered,Jaipur
ORD000008,CUST11565,2025-07-07,Delivered,Mumbai
ORD000009,CUST11703,2024-05-26,Cancelled,Rajkot
ORD000010,CUST05815,2025-04-03,Delivered,Nagpur
ORD000011,CUST00080,2025-11-25,Returned,Mumbai
ORD000012,CUST10650,2025-07-10,Delivered,Chennai
ORD000013,CUST05319,2024-07-17,Delivered,Nashik
ORD000014,CUST07765,2025-09-14,Delivered,Chennai
ORD000015,CUST03860,2025-09-02,Delivered,Bengaluru
ORD000016,CUST00942,2025-06-16,Delivered,Jaipur
ORD000017,CUST00971,2025-06-22,Delivered,Visakhapatnam
ORD000018,CUST08883,2025-11-30,Cancelled,Bengaluru
ORD000019,CUST03867,2025-05-11,Delivered,Bengaluru
ORD000020,CUST01605,2025-07-17,Delivered,Delhi
ORD000021,CUST09956,2024-12-08,Delivered,Pune
ORD000022,CUST06505,2025-10-06,Returned,Pune
ORD000023,CUST03167,2025-07-05,Delivered,Delhi
ORD000024,CUST03475,2025-07-25,Delivered,Hyderabad
ORD000025,CUST04618,2024-11-22,Delivered,Mumbai
ORD000026,CUST00461,2025-09-10,Shipped,Gurugram
ORD000027,CUST01204,2025-10-20,Delivered,Patna
ORD000028,CUST04491,2025-11-02,Delivered,Hyderabad
ORD000029,CUST00727,2025-11-11,Shipped,Coimbatore
ORD000030,CUST04856,2025-09-11,Delivered,Surat
ORD000031,CUST01381,2025-05-29,Delivered,Mumbai
ORD000032,CUST09323,2024-10-13,Delivered,Kochi
ORD000033,CUST09785,2025-04-09,Delivered,Mumbai
ORD000034,CUST08923,2024-11-21,Delivered,Nashik
ORD000035,CUST07718,2025-08-19,Shipped,Bengaluru
ORD000036,CUST06463,2025-10-22,Delivered,Surat
ORD000037,CUST11049,2025-10-16,Returned,Kochi
ORD000038,CUST10746,2025-08-01,Returned,Bengaluru
ORD000039,CUST03078,2025-01-02,Delivered,Indore
ORD000040,CUST02806,2024-04-03,Delivered,Hyderabad
ORD000041,CUST03281,2025-06-26,Delivered,Ahmedabad
ORD000042,CUST06793,2025-03-07,Delivered,Agra
