order_id,payment_method,payment_status
ORD000001,UPI,Paid
ORD000002,Credit Card,Paid
ORD000003,Debit Card,Paid
ORD000004,Debit Card,Paid
ORD000005,Credit Card,Paid
ORD000006,Cash on Delivery,Paid
ORD000007,Wallet,Paid
ORD000008,Wallet,Paid
ORD000009,UPI,Failed
ORD000010,UPI,Paid
ORD000011,Credit Card,Refunded
ORD000012,UPI,Paid
ORD000013,Debit Card,Paid
ORD000014,Net Banking,Paid
ORD000015,UPI,Paid
ORD000016,UPI,Paid
ORD000017,Debit Card,Refunded
ORD000018,UPI,Refunded
ORD000019,Net Banking,Paid
ORD000020,Wallet,Paid
ORD000021,Debit Card,Paid
ORD000022,Wallet,Paid
ORD000023,Wallet,Paid
ORD000024,Wallet,Paid
ORD000025,UPI,Paid
ORD000026,Wallet,Paid
ORD000027,Net Banking,Paid
ORD000028,Cash on Delivery,Refunded
ORD000029,Credit Card,Paid
ORD000030,UPI,Paid
ORD000031,Debit Card,Paid
ORD000032,Wallet,Paid
ORD000033,Credit Card,Paid
ORD000034,Cash on Delivery,Paid
ORD000035,Debit Card,Paid
ORD000036,UPI,Paid
ORD000037,Debit Card,Refunded
ORD000038,UPI,Refunded
ORD000039,UPI,Paid
ORD000040,UPI,Paid
ORD000041,Net Banking,Paid
ORD000042,Cash on Delivery,Paid
ORD000043,UPI,Paid
ORD000044,Debit Card,Failed
ORD000045,UPI,Paid
ORD000046,Debit Card,Paid
ORD000047,Credit Card,Paid
ORD000048,Cash on Delivery,Failed
ORD000049,UPI,Refunded
ORD000050,Debit Card,Paid
ORD000051,Credit Card,Paid
ORD000052,Debit Card,Paid
ORD000053,UPI,Paid
ORD000054,Debit Card,Paid
ORD000055,UPI,Paid
ORD000056,UPI,Paid
ORD000057,Credit Card,Paid
ORD000058,Credit Card,Paid
ORD000059,UPI,Paid
ORD000060,Net Banking,Refunded
ORD000061,Net Banking,Paid
ORD000062,Debit Card,Paid
ORD000063,Debit Card,Paid
ORD000064,Debit Card,Paid
ORD000065,UPI,Paid
ORD000066,Net Banking,Paid
ORD000067,Debit Card,Paid
ORD000068,Cash on Delivery,Paid
ORD000069,Wallet,Refunded
ORD000070,Debit Card,Paid
ORD000071,UPI,Paid
ORD000072,UPI,Paid
ORD000073,Credit Card,Paid
ORD000074,Net Banking,Refunded
ORD000075,UPI,Paid
ORD000076,Debit Card,Paid
ORD000077,Credit Card,Paid
ORD000078,UPI,Paid
ORD000079,UPI,Paid
ORD000080,Debit Card,Paid
ORD000081,Debit Card,Paid
ORD000082,UPI,Paid
ORD000083,Credit Card,Paid
ORD000084,UPI,Paid
ORD000085,Net Banking,Paid
ORD000086,Credit Card,Paid
ORD000087,UPI,Refunded
ORD000088,Cash on Delivery,Paid
ORD000089,Debit Card,Refunded
ORD000090,Net Banking,Paid
ORD000091,UPI,Paid
ORD000092,UPI,Failed
ORD000093,UPI,Paid
ORD000094,Debit Card,Paid
ORD000095,Credit Card,Paid
ORD000096,Wallet,Paid
ORD000097,UPI,Paid
ORD000098,Credit Card,Paid
ORD000099,Credit Card,Paid
ORD000100,UPI,Refunded
ORD000101,Net Banking,Paid
ORD000102,Credit Card,Paid
ORD000103,Wallet,Refunded
ORD000104,UPI,Paid
ORD000105,UPI,Paid
ORD000106,UPI,Paid
ORD000107,Debit Card,Paid
ORD000108,UPI,Paid
ORD000109,Cash on Delivery,Paid
ORD000110,Credit Card,Failed
ORD000111,Cash on Delivery,Paid
ORD000112,Credit Card,Refunded
ORD000113,Wallet,Paid
ORD000114,UPI,Paid
ORD000115,UPI,Paid
ORD000116,UPI,Paid
ORD000117,UPI,Refunded
ORD000118,Debit Card,Paid
ORD000119,UPI,Refunded
ORD000120,Debit Card,Refunded
ORD000121,UPI,Paid
ORD000122,UPI,Paid
ORD000123,Debit Card,Paid
ORD000124,Cash on Delivery,Paid
ORD000125,Net Banking,Paid
ORD000126,Wallet,Paid
ORD000127,Debit Card,Paid
ORD000128,Credit Card,Paid
ORD000129,Debit Card,Paid
ORD000130,UPI,Paid
ORD000131,UPI,Paid
ORD000132,UPI,Refunded
ORD000133,UPI,Paid
ORD000134,Credit Card,Paid
ORD000135,UPI,Paid
ORD000136,UPI,Paid
ORD000137,Debit Card,Paid
ORD000138,Debit Card,Paid
ORD000139,UPI,Paid
ORD000140,Credit Card,Refunded
ORD000141,Debit Card,Paid
ORD000142,Credit Card,Paid
ORD000143,Cash on Delivery,Paid
ORD000144,UPI,Paid
ORD000145,UPI,Paid
ORD000146,UPI,Paid
ORD000147,Net Banking,Paid
ORD000148,Cash on Delivery,Paid
ORD000149,Debit Card,Refunded
ORD000150,Debit Card,Paid
ORD000151,Net Banking,Paid
ORD000152,UPI,Paid
ORD000153,UPI,Paid
ORD000154,Credit Card,Paid
ORD000155,UPI,Paid
ORD000156,Debit Card,Paid
ORD000157,UPI,Paid
ORD000158,UPI,Paid
ORD000159,UPI,Paid
ORD000160,UPI,Paid
ORD000161,Debit Card,Paid
ORD000162,Cash on Delivery,Paid
ORD000163,Cash on Delivery,Failed
ORD000164,UPI,Paid
ORD000165,UPI,Failed
ORD000166,Credit Card,Paid
ORD000167,Cash on Delivery,Paid
ORD000168,Credit Card,Refunded
ORD000169,Debit Card,Refunded
ORD000170,Credit Card,Paid
ORD000171,Debit Card,Paid
ORD000172,Debit Card,Paid
ORD000173,UPI,Paid
ORD000174,UPI,Paid
ORD000175,UPI,Paid
ORD000176,Cash on Delivery,Paid
ORD000177,Cash on Delivery,Paid
