order_id,return_date,return_reason,refund_amount
ORD000011,2025-12-09,Changed Mind,274.6
ORD000022,2025-10-11,Damaged Product,2979.32
ORD000037,2025-10-23,Quality Issue,5293.89
ORD000038,2025-08-10,Changed Mind,88057.71
ORD000044,2025-03-29,Quality Issue,25330.16
ORD000055,2025-02-25,Size/Fit Issue,5000.27
ORD000060,2025-11-06,Damaged Product,3988.56
ORD000074,2025-11-11,Late Delivery,4089.76
ORD000087,2025-11-21,Damaged Product,2694.58
ORD000089,2025-02-20,Size/Fit Issue,2005.99
ORD000100,2025-11-04,Damaged Product,38209.62
ORD000112,2025-02-03,Changed Mind,1935.41
ORD000128,2025-09-08,Changed Mind,5711.36
ORD000132,2025-11-26,Quality Issue,11895.53
ORD000140,2024-11-17,Size/Fit Issue,11221.63
ORD000149,2025-03-24,Late Delivery,1876.32
ORD000168,2025-10-12,Damaged Product,663.83
ORD000189,2025-09-29,Size/Fit Issue,3988.47
ORD000215,2025-12-27,Changed Mind,500.87
ORD000235,2026-01-06,Damaged Product,90215.06
ORD000239,2025-09-09,Changed Mind,17901.9
ORD000262,2024-02-25,Changed Mind,4705.45
ORD000274,2025-06-05,Wrong Product,52412.83
ORD000280,2025-12-28,Size/Fit Issue,19167.37
ORD000282,2024-05-01,Size/Fit Issue,10846.31
ORD000340,2024-11-26,Quality Issue,3047.53
ORD000343,2025-08-29,Size/Fit Issue,37892.77
ORD000346,2025-02-05,Size/Fit Issue,13385.81
ORD000350,2025-01-03,Damaged Product,1019.78
ORD000355,2026-01-04,Quality Issue,47026.02
ORD000370,2025-05-27,Size/Fit Issue,1306.02
ORD000387,2025-11-07,Quality Issue,5621.66
ORD000397,2025-04-09,Damaged Product,29710.1
ORD000408,2025-04-25,Quality Issue,3646.82
ORD000411,2025-02-08,Quality Issue,6444.01
ORD000422,2025-06-25,Changed Mind,3931.55
ORD000426,2025-12-09,Quality Issue,1174.19
ORD000436,2025-08-25,Late Delivery,307.53
ORD000455,2025-10-01,Changed Mind,13033.23
ORD000461,2025-09-02,Damaged Product,15170.42
ORD000476,2026-01-01,Damaged Product,2966.45
ORD000477,2025-11-21,Damaged Product,18719.41
ORD000498,2024-02-04,Quality Issue,5592.1
ORD000509,2025-04-17,Late Delivery,306.15
ORD000512,2025-12-13,Damaged Product,14153.03
ORD000536,2025-06-03,Changed Mind,3529.25
ORD000551,2025-05-22,Quality Issue,3472.45
ORD000554,2025-07-11,Size/Fit Issue,6640.82
ORD000591,2024-08-01,Quality Issue,2748.42
ORD000592,2025-09-12,Damaged Product,9667.47
ORD000624,2025-03-15,Changed Mind,40408.28
ORD000632,2025-07-13,Damaged Product,7723.23
ORD000642,2024-03-08,Quality Issue,539.99
ORD000662,2025-11-22,Size/Fit Issue,6109.01
ORD000669,2025-10-29,Late Delivery,51008.07
ORD000671,2026-01-09,Changed Mind,11505.62
ORD000679,2025-10-01,Late Delivery,35261.33
ORD000713,2024-11-13,Late Delivery,22971.36
ORD000718,2024-10-21,Changed Mind,437.44
ORD000734,2025-08-11,Quality Issue,580.97
ORD000737,2025-06-08,Late Delivery,21444.23
ORD000740,2025-01-04,Changed Mind,1967.97
ORD000747,2024-10-02,Quality Issue,4958.25
ORD000753,2025-07-17,Changed Mind,3351.89
ORD000792,2025-09-24,Quality Issue,28328.5
ORD000800,2025-12-19,Changed Mind,114579.77
ORD000811,2024-12-02,Damaged Product,57255.48
ORD000828,2024-05-12,Damaged Product,14970.58
ORD000847,2025-02-09,Size/Fit Issue,71758.42
ORD000850,2024-11-26,Size/Fit Issue,7396.74
ORD000871,2026-01-13,Size/Fit Issue,1464.09
ORD000882,2025-10-06,Changed Mind,1137.61
ORD000883,2024-08-15,Damaged Product,2076.01
ORD000896,2024-11-13,Wrong Product,1207.72
ORD000905,2025-02-11,Damaged Product,61453.72
ORD000908,2025-09-29,Wrong Product,3705.93
ORD000992,2024-07-10,Late Delivery,61859.71
ORD000996,2025-10-29,Late Delivery,1558.51
ORD001008,2025-10-23,Wrong Product,10348.74
ORD001009,2024-08-06,Late Delivery,7477.52
ORD001013,2025-10-10,Quality Issue,4627.4
ORD001035,2026-01-06,Wrong Product,3779.18
ORD001036,2025-12-20,Changed Mind,6490.69
ORD001057,2025-11-28,Late Delivery,13296.08
ORD001058,2025-06-29,Changed Mind,6577.33
ORD001077,2025-10-26,Wrong Product,13051.18
ORD001107,2024-11-14,Late Delivery,124009.83
ORD001118,2025-05-11,Damaged Product,4930.74
ORD001146,2025-11-11,Changed Mind,15227.14
ORD001151,2025-11-22,Size/Fit Issue,12748.37
ORD001158,2024-02-23,Size/Fit Issue,5625.58
ORD001163,2025-12-14,Late Delivery,11641.33
ORD001168,2025-12-02,Size/Fit Issue,27088.19
ORD001169,2025-09-26,Quality Issue,107.94
ORD001172,2025-09-03,Changed Mind,5976.58
ORD001183,2025-10-15,Damaged Product,3289.37
ORD001185,2025-01-01,Changed Mind,2135.08
ORD001204,2024-11-26,Damaged Product,137766.0
ORD001236,2025-11-13,Changed Mind,16524.43
ORD001237,2025-01-31,Quality Issue,515.45
ORD001238,2024-10-14,Damaged Product,26068.1
ORD001241,2024-08-24,Wrong Product,3392.5
ORD001247,2025-07-04,Damaged Product,2237.94
ORD001281,2024-11-06,Changed Mind,556.79
ORD001298,2024-10-30,Damaged Product,7018.64
ORD001301,2024-08-26,Damaged Product,6947.43
ORD001331,2025-12-09,Changed Mind,7658.79
ORD001347,2024-09-04,Damaged Product,11266.27
ORD001355,2025-06-25,Changed Mind,51420.56
ORD001363,2025-05-25,Size/Fit Issue,7521.25
ORD001393,2025-10-28,Quality Issue,8753.22
ORD001412,2025-08-22,Late Delivery,117839.09
ORD001418,2024-09-28,Damaged Product,11488.34
ORD001434,2024-09-20,Changed Mind,645.9
ORD001437,2025-10-01,Quality Issue,731.8
ORD001460,2024-10-23,Wrong Product,7997.62
ORD001466,2024-09-25,Wrong Product,58709.58
ORD001475,2025-09-07,Late Delivery,4881.2
ORD001501,2026-01-05,Changed Mind,444.72
ORD001521,2025-12-05,Damaged Product,9810.71
ORD001530,2025-04-26,Size/Fit Issue,366.43
ORD001557,2025-08-12,Damaged Product,2759.72
ORD001561,2025-03-12,Late Delivery,29305.37
ORD001604,2025-06-29,Damaged Product,135.0
ORD001606,2025-11-06,Size/Fit Issue,61078.82
ORD001641,2025-07-02,Size/Fit Issue,397.75
ORD001643,2025-11-04,Quality Issue,2496.23
ORD001662,2025-01-16,Size/Fit Issue,16608.3
ORD001684,2024-07-05,Size/Fit Issue,468.2
ORD001697,2025-10-18,Changed Mind,1125.77
ORD001698,2025-04-17,Changed Mind,2878.01
ORD001709,2025-12-31,Wrong Product,75478.42
ORD001718,2025-07-19,Size/Fit Issue,48836.21
ORD001753,2024-09-23,Quality Issue,12332.43
ORD001773,2025-08-24,Quality Issue,20886.01
ORD001775,2025-04-07,Size/Fit Issue,2605.82
ORD001779,2024-06-17,Damaged Product,2157.63
ORD001781,2024-10-26,Damaged Product,8925.73
ORD001799,2025-09-09,Wrong Product,8455.36
ORD001813,2025-03-24,Size/Fit Issue,1868.04
ORD001830,2025-03-03,Size/Fit Issue,1974.03
ORD001843,2025-11-17,Wrong Product,2467.47
ORD001858,2025-07-20,Late Delivery,206743.28
ORD001860,2025-09-09,Quality Issue,2228.73
ORD001891,2025-07-07,Damaged Product,8785.38
ORD001904,2025-01-10,Wrong Product,14859.81
ORD001920,2025-06-17,Quality Issue,7953.31
ORD001921,2025-08-09,Damaged Product,748.14
ORD001952,2025-04-09,Damaged Product,8213.21
ORD001965,2024-01-15,Late Delivery,7482.86
ORD001972,2025-12-28,Damaged Product,22490.66
ORD001977,2025-10-21,Wrong Product,2285.19
ORD002041,2025-12-14,Damaged Product,6472.42
ORD002043,2025-01-29,Changed Mind,1505.89
ORD002054,2025-10-25,Damaged Product,6902.66
ORD002061,2025-11-16,Late Delivery,5970.83
ORD002062,2025-09-08,Late Delivery,6906.39
ORD002070,2025-04-03,Quality Issue,10300.32
ORD002078,2025-05-16,Quality Issue,5478.32
ORD002088,2025-11-20,Wrong Product,8952.69
ORD002138,2025-11-25,Quality Issue,2382.59
ORD002163,2024-07-31,Wrong Product,4911.51
ORD002164,2025-04-13,Changed Mind,17458.81
ORD002201,2025-04-15,Quality Issue,18037.48
ORD002202,2025-06-18,Changed Mind,6049.29
ORD002203,2025-11-23,Wrong Product,3098.27
ORD002227,2025-12-18,Damaged Product,16578.53
ORD002248,2025-12-29,Damaged Product,157518.81
ORD002252,2025-12-08,Changed Mind,27431.68
ORD002260,2025-10-16,Wrong Product,1032.6
ORD002299,2025-03-03,Quality Issue,1977.13
ORD002317,2025-10-12,Damaged Product,24525.21
ORD002334,2025-03-29,Changed Mind,170560.38
ORD002367,2025-11-01,Damaged Product,9736.93
ORD002376,2025-03-23,Damaged Product,6678.31
ORD002378,2025-03-02,Quality Issue,5604.35
ORD002389,2025-11-11,Size/Fit Issue,2226.53
ORD002397,2025-04-20,Changed Mind,28825.38
ORD002409,2024-08-25,Late Delivery,431.19
ORD002410,2024-07-20,Wrong Product,1113.8
ORD002416,2024-09-08,Changed Mind,3819.24
ORD002428,2024-11-24,Changed Mind,7771.31
ORD002482,2024-11-28,Damaged Product,3732.14
ORD002499,2025-06-09,Late Delivery,1590.25
ORD002515,2025-12-08,Quality Issue,3657.56
ORD002522,2025-12-15,Quality Issue,666.35
ORD002532,2025-08-11,Changed Mind,3283.94
ORD002562,2025-01-01,Wrong Product,24214.06
ORD002595,2024-12-05,Changed Mind,5218.04
ORD002604,2024-06-01,Damaged Product,3419.2
ORD002613,2025-04-15,Quality Issue,1572.73
ORD002625,2024-10-28,Quality Issue,1108.14
ORD002651,2024-06-13,Damaged Product,10121.27
ORD002666,2025-08-19,Quality Issue,339.08
ORD002679,2025-09-08,Damaged Product,14692.86
ORD002681,2025-04-23,Damaged Product,2342.98
ORD002682,2025-03-19,Damaged Product,3595.72
ORD002695,2025-05-30,Damaged Product,76437.79
ORD002713,2024-10-22,Damaged Product,9304.41
ORD002742,2026-01-07,Damaged Product,20252.9
ORD002743,2025-07-03,Changed Mind,1356.28
ORD002758,2024-11-14,Size/Fit Issue,1752.96
ORD002764,2024-09-27,Size/Fit Issue,19133.64
ORD002796,2025-01-10,Wrong Product,6478.65
ORD002805,2025-06-25,Wrong Product,2275.86
ORD002808,2024-07-17,Quality Issue,740.43
ORD002817,2025-08-08,Wrong Product,2671.01
ORD002824,2025-10-16,Quality Issue,7130.72
ORD002826,2024-11-26,Late Delivery,615.94
ORD002854,2025-11-04,Changed Mind,20281.7
ORD002856,2025-06-08,Quality Issue,34212.49
ORD002872,2025-09-07,Quality Issue,2886.49
ORD002882,2025-11-05,Changed Mind,7554.63
ORD002884,2026-01-02,Changed Mind,3027.93
ORD002893,2025-08-20,Wrong Product,1727.77
ORD002901,2024-09-04,Wrong Product,5838.2
ORD002902,2024-09-26,Wrong Product,4025.68
ORD002908,2025-12-08,Quality Issue,1139.7
ORD002915,2024-09-17,Damaged Product,513.87
ORD002952,2025-07-10,Damaged Product,2211.97
ORD002973,2025-04-27,Damaged Product,3389.3
ORD002982,2025-04-02,Size/Fit Issue,58369.85
ORD003003,2025-03-13,Damaged Product,11649.2
ORD003043,2025-05-14,Size/Fit Issue,9547.45
ORD003047,2024-12-28,Late Delivery,2229.14
ORD003049,2025-06-15,Wrong Product,4360.85
ORD003053,2025-11-11,Wrong Product,1897.28
ORD003061,2024-02-19,Wrong Product,652.35
ORD003068,2025-10-14,Late Delivery,10224.94
ORD003073,2024-05-14,Size/Fit Issue,31592.5
ORD003077,2024-08-29,Wrong Product,5051.53
ORD003079,2024-06-24,Damaged Product,13255.37
